D3H4S4DQC8;HQH7HJSKD7
HQD4D2S2C4;C8C2D10DKS6
D3H10H6S3D9;H9C10C8SKS10
H5S8DQHJH4;D5C2H6C10C4
H7CQD9S9SQ;S2C3S6S8HK
DAS8H10H7CA;D8C9C3H2H5
D3D2DJC2C8;S7C3H6C9CQ
D7D2CASJC7;H6S10D5D9H10
DAH10S7C4D4;C8D10H2HKC3
D8S7S8D2H3;CASQDAC10S6
CQH7D2H6D5;DKH8CJC8C10
H4D4H7C8CJ;S8S4CQC10S3
C3DAHJD3S5;DQD10CAC4D4
DQS9C8D6HA;DJC6C9C10H4
D2H3DJC6D10;CKD6C8CAD5
S7S10C8CJC3;S6D5HAS9S8
H4DAH10S3SJ;D9S4HKH2D4
HQCKHJH7D9;DJS5D7H3C4
H6HAH8C10S5;D9DQS6D6S4
C5C8DJD6C3;S9S7S8C10H5
C5DKCAH9HJ;H7S8H6S5D3
C9CJS4C10D3;S5S3H6CQC6
CQC2H2D5D7;C4D4S2HKSJ
D9HQD3CJC9;C5D7CAS4DJ
D10HAH8C7H4;S9C4H3C9S8
C4D10D9C9D3;C6HAD2C10HK
D9S7SJC2HK;HJDJSKC8H9
D2D9DJSKH5;S5D5H3C9S10
C5D3C8H4CJ;S10H5S5DASK
DAC7S3S7S9;C9CKS8H5H10
H8SKH3D9D3;HJD8C2D5S2
D2C9SKDKH6;H3D8D9C6D10
S8S2C7H8SJ;CAC4H10C5CJ
C7C2S2HJC5;SKCKDJH5S9
C3H3DJD6CA;SQS6D8C5D9
SQD9HADADJ;S2D2C8S10C2
S4H5H7C10S7;D6D3S8H10DA
S3H8H10C3C10;H9S6C2S8D8
SKC6S7S4H5;H2D10DAD6S9
CKC9D5H8S5;C10S9D7CADA
S6C8H4S2C9;HKH5C6D7C5
C8H10CKSJD4;D6H8C7H5S10
C7S3D9SJH2;D6D10D4S8S6
SKC3H2H8CK;S3D5C2H10D8
HAD6D4C5C8;SJD5DQS3DJ
C2H8H6H7S4;HKD2S6D6D3
S4D8H7DKD4;C6D5C3D6S9
DQHKS8C3DK;C7C9SQH3D3
DAH6D5H3D10;C5HKCJSJHJ
C4CQC9H10H4;HJCJS7H6H3
S7HKS4H3H8;S2CQS8SKS6
C6H9D9D6HJ;H2HQCKC5H6
C8SQSJH7S8;D7DQCJD10H6
C8H6D9CKD4;S3C2H9S6H8
D10H5HQC7H4;C5S5DQHJC10
DAC3C4S10S2;S5HQD10C5DQ
D7DQH4C5CJ;D4S10CQD6D8
HKD5D2S7S6;SJS8C2CAH10
D7H9D10DKC6;C5S6C9D4H3
SKH7H6C2C6;H4D2H5D5DJ
S3C4D5HKH3;HJS8S2H10D8
C9H10CKC8H4;D3SKS7C7C2
H4D8HADAH3;H5D6SQHQH9
S10S2C7C4H3;H6S7H4H9D4
H8D4S8D6H7;D2S4DADQS6
C7HKH3C2DA;H7HAS4H9S7
D2H3D7D10H6;H4C10SJHAH5
C2SQC7H4H2;D7CQD10S3HA
D2H5DKC2HK;DAC10H9H8S9
D4CQH4C10CA;D5C8SKS2D3
S6SQD9D2HQ;HJH2CKDKD10
S10H6H7DAHK;HAC10DKH9SJ
CAH10D8S3D4;C2D6D9DJD2
CAS4C9C4C3;D5DQDJD4S5
H5H3S2S5D7;S3HQC2S10D5
S10HQC9D3D9;C3CQSQH7H6
C7HJD5SQDJ;H8C9H3C2D8
C4SJDJS4C5;HJHKS8CQH4
DKD8S8S9C9;H5CQCKH3HK
S9D4D5C5H5;S7S3HKHAH10
D4S10H3SJS4;S7SKS2HQC2
CJSQD7C8H10;H7D6HAC2SJ
H8HQCJC10H10;H2D5HAC4D7
HQD4DAH9D2;S5S2CQD9CA
HJS3S4CQS5;D2C4D3HQDJ
C4H2SJHAD4;HKD9DAH4DK
S9C6CQSQCK;DQDJC5S7S8
H6S2S7H4D8;SQSJC3HKDQ
C4H10HJSKDA;CAD9DQH2D8
HQS5C10H10S10;D6C6D8HKCK
H6S6CQH8H2;C9SQH9HADQ
HKH9DQD2D5;S2H10SJHJH2
H8H6CKS7S8;D6DQC10C3H9
C10DQD4S7DA;C7H9D10SJS4
C8H10CJHAS4;DQC3D10S9SK
HKC9D7H2D10;HAC4C7C5S8
CKD6SJH3H2;C10SQD3C8D5
H6C3S5C10SK;S4SQD9CKC4
C6D10C10D7H5;HJD6H3S5SJ
D6C4D2CKS9;S2HJD3DQDK
H7C6D7SQS9;S5C7HQD8DK
D8DKHJDAS6;C10H2S2S7S8
H3CAS5HQHA;S10D6SKD2SJ
H7C10S8D2D6;C7D7H3C8HJ
DQH6D2D6H10;S7HQS8D7H7
DKD3S8C5C10;HJSQDJCAH5
S9D6CQC4H5;SKDKH9C9DQ
S9H4S8C6S10;H8C10C3D9HK
